SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
517174,HONEYWELL   ,B ,Q,19040.30,19270.55,18946.75,19027.40,19000.00,19113.50,25,36,686509.00,
517206,LUMAX IND   ,B ,Q,2283.00,2290.00,2260.50,2264.20,2260.50,2304.10,40,263,598708.00,
517214,SPICEMOBI   ,B ,Q,16.05,16.45,15.80,15.95,15.80,16.15,9,2131,34012.00,
517236,CALCOM VISIO,X ,Q,16.42,16.65,15.87,16.65,16.65,16.42,9,691,11302.00,
517238,DYNAVISION  ,XT,Q,59.60,60.00,59.60,59.90,59.60,62.70,7,470,28142.00,
517246,BCC FUBA    ,XT,Q,17.25,18.00,17.25,18.00,18.00,17.80,6,928,16014.00,
517258,PRECISION EL,ST,Q,30.15,33.00,30.15,33.00,33.00,31.70,4,265,8659.00,
517271,HBL P SYS   ,B ,Q,48.15,49.50,48.15,48.70,48.70,48.00,263,36958,1801985.00,
517288,GUJARATPOLY ,XT,Q,14.50,14.50,14.50,14.50,14.50,14.85,3,650,9425.00,
517300,GUJ.IND.POW.,B ,Q,106.50,106.50,103.40,104.00,103.90,104.30,76,4389,459035.00,
517330,CMI LTD.    ,B ,Q,351.10,371.60,348.40,362.45,367.00,349.40,1401,50218,18232801.00,
517334,MOTHERSON SS,A ,Q,355.30,357.00,351.75,353.95,353.80,353.15,780,70446,24920823.00,
517344,MINDTECK (I),B ,Q,72.85,72.85,66.00,69.95,69.20,68.85,169,19853,1384728.00,
517354,HAVELLSINDIA,A ,Q,549.90,555.85,545.00,548.45,548.45,544.95,1091,49948,27455587.00,
517370,INCAP LTD.  ,XT,Q,89.60,89.60,84.60,84.60,84.60,86.05,2,110,9806.00,
517372,GUJ.INTRUX  ,X ,Q,110.10,114.20,95.45,104.20,104.20,106.05,19,733,77627.00,
